Funchal,238,954,1592136,portugal,NãoRegistado,suite,Ofertas_Especiais,2022-09-19,2022-10-29,2022-10-31,2,2,2,0,2,254.0,40,4,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,52,2,No,null
Olhão,313,1379,1593883,bélgica,Registado,viii,RO,2022-09-22,2022-10-21,2022-10-22,1,2,2,0,2,280.0,29,3,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,No,null
Viana do Castelo,280,2564,1594092,portugal,Registado,suite,BAR,2022-09-22,2022-09-23,2022-09-24,1,2,2,1,2,163.0,1,4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,37,0,No,null
Travanca do Mondego,535,2523,1597907,portugal,Modificada,duplo,Website,2022-09-28,2022-10-09,2022-10-10,1,2,2,0,2,58.5,11,3,5,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4,11,0,No,null
Covilhã,556,2833,1605555,portugal,Pendente,triple room standard,Website,2022-10-10,2022-10-19,2022-10-20,1,3,3,0,3,85.5,9,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Porto,395,1829,1613947,dinamarca,Registado,estudio,3-4Dias,2022-10-23,2023-05-17,2023-05-21,4,2,4,0,2,729.0,206,2,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,16,4,No,null
Porto,179,631,1618179,portugal,Registado,twin,Descontos_Especiais,2022-10-31,2022-11-09,2022-11-11,2,2,2,0,2,241.21,9,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132,4,No,null
Alcanena,561,2879,1618443,portugal,Registado,duplo,BB,2022-11-01,2022-12-13,2022-12-14,1,2,2,0,2,55.0,42,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,No,null
Maia,311,2034,1619567,reino unido,NãoRegistado,duplo,MR - Main Rate,2022-11-03,2022-11-08,2022-11-11,3,2,4,0,2,388.08,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Sagres,511,2810,1623632,itália,Cancelado,duplo,BB,2022-11-10,2022-12-07,2022-12-08,1,2,2,0,2,80.0,27,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,No,null
Covilhã,556,2832,1625114,espanha,Registado,twin,Website,2022-11-13,2022-11-14,2022-11-15,1,2,2,0,2,57.0,1,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Nazaré,444,2229,1625463,brasil,Registado,triplo,RO,2022-11-14,2022-11-14,2022-11-15,1,3,3,0,3,90.0,0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
Porto,179,630,1628132,brasil,Registado,duplo,Tarifa Base,2022-11-19,2023-03-17,2023-03-18,1,2,2,0,2,107.919,118,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132,4,No,null
Aveiro,319,2889,1629746,frança,Registado,individual,BB,2022-11-22,2022-12-01,2022-12-04,3,1,1,0,1,159.0,9,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,96,0,No,null
Travanca do Mondego,535,2527,1630233,portugal,Pendente,suite,Website,2022-11-23,2022-12-04,2022-12-05,1,2,2,0,2,81.0,11,5,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4,11,0,No,null
Porto,179,631,1631302,estados unidos,Registado,twin,RO,2022-11-25,2022-11-25,2022-11-26,1,2,2,0,2,86.427,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132,4,No,null
Travanca do Mondego,535,2527,1631858,portugal,Pendente,suite,Website,2022-11-26,2023-01-27,2023-01-29,2,2,2,0,2,189.0,62,5,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4,11,0,No,null
Valongo,309,1372,1632201,portugal,Modificada,duplo,MR - Main Rate,2022-11-27,2022-12-02,2022-12-03,1,2,2,0,2,39.69,5,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,41,0,No,null
Lisboa,328,1453,1639770,portugal,Registado,duplo,Website,2022-12-12,2022-12-12,2022-12-13,1,1,1,0,1,40.55,0,2,5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,56,9,No,null
Covilhã,556,2832,1639976,portugal,Pendente,twin,Website,2022-12-12,2023-01-27,2023-01-29,2,2,2,0,2,140.25,46,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Maia,311,1407,1643330,portugal,NãoRegistado,duplo,BB,2022-12-20,2022-12-21,2022-12-22,1,1,1,0,1,64.815,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Nazaré,444,2074,1650130,frança,Registado,duplo,RO,2023-01-04,2023-01-07,2023-01-08,1,2,2,0,2,80.0,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
Gaia,310,1395,1652158,bélgica,NãoRegistado,duplo,MR - Main Rate,2023-01-07,2023-03-03,2023-03-06,3,2,2,0,2,132.3,55,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,192,0,No,null
Valongo,309,1372,1655786,portugal,Pendente,duplo,BB,2023-01-13,2023-01-27,2023-01-29,2,2,2,0,2,133.86,14,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,41,0,No,null
